dataset,clip,method,frames,psnr,ssim,lpips,tlpips,fid,temporal_mae,has_gt,pred_path,gt_path,eval_policy,crop_twh
vimeo-rl,vimeo-RL_00018_0212,part3_C_uncertainty_adaptive,7,,,,0.1272,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0212_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0214,part3_A_rectified_flow,7,,,,0.2858,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0214_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0214,part3_B_flow_stabilized,7,,,,0.2908,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0214_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0214,part3_B_temporal_gen_blend,7,,,,0.2684,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0214_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0214,part3_C_uncertainty_adaptive,7,,,,0.2895,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0214_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0216,part3_A_rectified_flow,7,,,,0.0701,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0216_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0216,part3_B_flow_stabilized,7,,,,0.0780,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0216_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0216,part3_B_temporal_gen_blend,7,,,,0.0728,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0216_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0216,part3_C_uncertainty_adaptive,7,,,,0.0730,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0216_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0217,part3_A_rectified_flow,7,,,,0.3787,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0217_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
